"PROBEID","ENTREZID"
"500","200889_s_at","6745"
"501","200890_s_at","6745"
"502","200891_s_at","6745"
"503","200892_s_at","6434"
"504","200893_at","6434"
"505","200894_s_at","2288"
"506","200895_s_at","2288"
"507","200896_x_at","3068"
"508","200897_s_at","23022"
"509","200898_s_at","10724"
"510","200899_s_at","10724"
"511","200900_s_at","4074"
"512","200901_s_at","4074"
"513","200901_s_at","1911"
"514","200902_at","9403"
"515","200903_s_at","191"
"516","200904_at","3133"
"517","200905_x_at","3133"
"518","200906_s_at","23022"
"519","200907_s_at","23022"
"520","200908_s_at","6181"
"521","200909_s_at","6181"
"522","200909_s_at","619565"
"523","200910_at","7203"
"524","200911_s_at","6867"
"525","200912_s_at","1974"
"526","200912_s_at","6043"
"527","200912_s_at","619567"
"528","200912_s_at","619568"
"529","200912_s_at","677847"
"530","200912_s_at","100302143"
"531","200913_at","5496"
"532","200914_x_at","3895"
"533","200915_x_at","3895"
"534","200916_at","8407"
"535","200917_s_at","6734"
"536","200918_s_at","6734"
"537","200919_at","1912"
"538","200920_s_at","694"
"539","200921_s_at","694"
"540","200922_at","10945"
"541","200923_at","3959"
"542","200924_s_at","6520"
"543","200925_at","1337"
"544","200926_at","6228"
"545","200927_s_at","51552"
"546","200928_s_at","51552"
"547","200929_at","10972"
"548","200930_s_at","7414"
"549","200931_s_at","7414"
"550","200932_s_at","10540"
"551","200933_x_at","6191"
"552","200934_at","7913"
"553","200935_at","811"
"554","200936_at","6132"
"555","200937_s_at","6125"
"556","200937_s_at","6083"
"557","200938_s_at","473"
"558","200939_s_at","473"
"559","200940_s_at","473"
"560","200941_at","3281"
"561","200942_s_at","3281"
"562","200943_at","3150"
"563","200944_s_at","3150"
"564","200945_s_at","22872"
"565","200946_x_at","2746"
"566","200947_s_at","2746"
"567","200948_at","8079"
"568","200949_x_at","6224"
"569","200949_x_at","26795"
"570","200950_at","10552"
"571","200951_s_at","894"
"572","200952_s_at","894"
"573","200953_s_at","894"
"574","200954_at","527"
"575","200955_at","10989"
"576","200956_s_at","6749"
"577","200957_s_at","6749"
"578","200958_s_at","6386"
"579","200959_at","2521"
"580","200960_x_at","1211"
"581","200961_at","22928"
"582","200962_at","6160"
"583","200963_x_at","6160"
"584","200964_at","7317"
"585","200965_s_at","3983"
"586","200966_x_at","226"
"587","200967_at","5479"
"588","200968_s_at","5479"
"589","200969_at","27230"
"590","200970_s_at","27230"
"591","200971_s_at","27230"
"592","200972_at","10099"
"593","200973_s_at","10099"
"594","200974_at","59"
"595","200975_at","5538"
"596","200976_s_at","8887"
"597","200977_s_at","8887"
"598","200978_at","4190"
"599","200979_at","5160"
"600","200980_s_at","5160"
"601","200981_x_at","2778"
"602","200982_s_at","309"
"603","200983_x_at","966"
"604","200984_s_at","966"
"605","200985_s_at","966"
"606","200986_at","710"
"607","200987_x_at","10197"
"608","200988_s_at","10197"
"609","200989_at","3091"
"610","200990_at","10155"
"611","200991_s_at","9784"
"612","200992_at","10527"
"613","200993_at","10527"
"614","200994_at","10527"
"615","200995_at","10527"
"616","200996_at","10096"
"617","200997_at","5936"
"618","200997_at","100526737"
"619","200998_s_at","10970"
"620","200999_s_at","10970"
"621","201000_at","16"
"622","201001_s_at","7335"
"623","201001_s_at","7336"
"624","201001_s_at","387521"
"625","201001_s_at","387522"
"626","201002_s_at","387522"
"627","201002_s_at","7335"
"628","201002_s_at","7336"
"629","201002_s_at","387521"
"630","201003_x_at","387522"
"631","201003_x_at","7335"
"632","201003_x_at","7336"
"633","201003_x_at","387521"
"634","201004_at","6748"
"635","201005_at","928"
"636","201006_at","7001"
"637","201007_at","3032"
"638","201008_s_at","10628"
"639","201009_s_at","10628"
"640","201010_s_at","10628"
"641","201011_at","6184"
"642","201012_at","301"
"643","201013_s_at","10606"
"644","201014_s_at","10606"
"645","201015_s_at","3728"
"646","201016_at","1964"
"647","201017_at","1964"
"648","201018_at","1964"
"649","201019_s_at","1964"
"650","201020_at","7533"
"651","201021_s_at","11034"
"652","201022_s_at","11034"
"653","201023_at","6879"
"654","201024_x_at","9669"
"655","201025_at","9669"
"656","201026_at","9669"
"657","201027_s_at","9669"
"658","201028_s_at","4267"
"659","201029_s_at","4267"
"660","201030_x_at","3945"
"661","201031_s_at","3187"
"662","201032_at","10904"
"663","201033_x_at","6175"
"664","201034_at","120"
"665","201035_s_at","3033"
"666","201036_s_at","3033"
"667","201037_at","5214"
"668","201038_s_at","8125"
"669","201039_s_at","5886"
"670","201040_at","2771"
"671","201041_s_at","1843"
"672","201042_at","7052"
"673","201043_s_at","8125"
"674","201044_x_at","1843"
"675","201045_s_at","5870"
"676","201045_s_at","150786"
"677","201046_s_at","5886"
"678","201047_x_at","5870"
"679","201047_x_at","150786"
"680","201048_x_at","5870"
"681","201048_x_at","150786"
"682","201049_s_at","6222"
"683","201050_at","23646"
"684","201051_at","8125"
"685","201052_s_at","9491"
"686","201053_s_at","9491"
"687","201054_at","10949"
"688","201055_s_at","10949"
"689","201056_at","2804"
"690","201057_s_at","2804"
"691","201058_s_at","10398"
"692","201059_at","2017"
"693","201060_x_at","2040"
"694","201061_s_at","2040"
"695","201062_at","2040"
"696","201063_at","5954"
"697","201064_s_at","8761"
"698","201065_s_at","2969"
"699","201065_s_at","2970"
"700","201065_s_at","100093631"
"701","201066_at","1537"
"702","201067_at","5701"
"703","201068_s_at","5701"
"704","201069_at","4313"
